Name,Proba_pefile,Cost_pefile,Proba_byte3g,Cost_byte3g,Proba_opcode2g,Cost_opcode2g,Proba_cuckoo,Cost_cuckoo,Label
0001e2e9ff73ab8680180dc95a3d176d47392e936d6e6278c49507275cd2a9e4,0,0.101717,0.366666667,0.202663,0.27,2.721252,-2,0,0
0002f29cf8990a04ce14a3687927b13523ea8eb9f4e7e34f46943e2f1d156d3c,0,0.100701,0,0.10143,0,1.212464,-2,0,0
000485e192e438173db285255c2386e7e2cdb169781af67adfe29de5b449107d,0,0.201329,0,0.503577,0,5.437034,-2,0,0
0007c35b2e935f97560b923ab0ab47c71c043a211a89ff82e793b0ef821e6de5,0,0.100682,0,0.202115,0,2.123794,-2,0,0
001300a5323bf6c1812b686c1c896857d4cf85c676e48f451d8cb7b9a8f0afe0,0,0.402374,0.3,0.302319,0.47,5.234615,0.999988673,679,0
001f773dd1124e59aea8d703421c832a2f7a7339269d7f7baec46faf394d8d20,0,0.100727,0.033333333,0.100869,0,0.60421,-2,0,0
0023042e93dc796cc6de59bc205cbb74d8a3ac8f518fc02fb8e34814f79c6197,1,0.301421,1,2.718642,0.95,19.518675,1,146,1
0024587c1892967f1350d638b67b045adf45b8716b8b1fcf7d483d7bdaeadffd,0.5,0.502786,0.266666667,2.516504,0.57,33.001425,-2,0,0
002b906b4e42e04c9a6ae305846662d6a6516244edec7eb939bfe0030496edca,1,0.100602,1,0.201831,0.59,1.006746,-2,0,1
002c19aebdc2d0b93dcebe4e391e89ab6d85a108d32061c20de468c337c17f7a,0,0.10068,0.066666667,0.201438,0,1.311048,8.37E-07,823,0
002de11c64b9eb420d5fb94bb1f7165abd188fbf9333698fa959eb02d6454ccf,1,0.401864,1,1.711125,1,23.240604,0.999999369,160,1
00330a0e0eb1dbb6ee84997963f8e15c7c15c1df787f1c7f109609d7b31bd35c,0,0.100673,0,0.100757,0,1.006655,-2,0,0
003754676615a8a32aad778d7edebab4b26dd4fe88eb8b923ac6b8a986b8c94d,1,0.903776,1,7.653843,1,97.184141,1,175,1
003af682603301690ea8072989398bd7c985a83efc291ad6865899103a29cdea,1,0.401896,0.9,3.62367,0.98,17.299161,0.999999915,42,1
003dff5549df32bfedf244466fc38083b5f5a77d3d1f0e4a07f72db55a0ddb1a,0,0.301818,0,0.302209,0,3.924759,2.29E-07,99,0
00431c2f26a48684c9bff01d3ba84a83e066fa48e4fe1ba8359d2bd41ce0011c,0,0.20114,0.333333333,0.302292,0.49,7.050715,-2,0,0
0044324447b06f8dc79d738db4b30be9dd8ad686f9c3a24c28e77e066b283100,0,10.145503,0,149.183499,0,1436.255747,3.29E-07,140,0
0046fed22206095ac502b44e6582918752a86ff394acc252c50f436015bf3da3,0,0.100728,0.033333333,0.100908,0.03,0.905539,-2,0,0
00475a779c350bf60c514d7b02c9011ea932f4168a11ac05e48483f8eb36a142,0,0.100647,0.033333333,0.100779,0.01,0.302161,1.94E-08,92,0
0047e23328c421f57e1ab85335846a8d6ca24066009d58cbc69c6fc6164cba05,1,0.100592,1,2.918322,0.95,2.718306,-2,0,1
004904b503cfb51d9fcd9feb96ebb9432d1286fbb7f798bef62c33a9338a99eb,1,0.201078,0.4,4.928878,0.66,9.05057,-2,0,1
00496790b47ccf9d869641acae11304548d520807b37c6a286b6ef8343de715b,1,0.100673,0.366666667,0.100794,0.42,1.107725,-2,0,0
0049a10a879084e087b54eca877aba1589eaa5a7c0112560543fcb98b69b840e,0,0.301821,0,3.324739,0.01,26.363715,1.19E-05,49,0
004aba0759469309ee97db8ec4e8043dc5954cf285ecde3bfd437ad9fc75a1a1,1,0.301514,1,2.717497,0.99,10.96111,-2,0,1
00532e714d6488ea2982e2e162359a7fee2bbf1ebc68a884b756fb7520d8c6c8,0,0.201336,0.166666667,0.201558,0.28,3.823331,0.031048108,42,0
0053a456216bc4e7e29dd47299da5de18e6fc5a7857c72c369830efc6cf85939,1,0.100563,1,0.100717,1,0.301875,1,149,1
00552355331eefcab8898d82c621aec5df0ae25cee09644ce4087da93a4a49f6,0,0.100647,0.333333333,0.302501,0.56,2.314392,-2,0,1
00563df7ea324624ad997834d90141ab9d6c55c71dde0414e1758ad7714b9199,1,0.100596,0.933333333,0.40312,0.99,4.928409,0.999999975,150,1
